,samples,method,return,Dev. MF,Dev. Policy
0,2,PIAIRL,21.35724524251702,0.9516194827925163,0.3474939071121323
1,2,MFIRL,21.414571480347874,0.5823506759288479,0.305265761963079
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.32665146483158,1.1015057404250628,0.39602288438205857
1,3,MFIRL,21.154482130483547,0.3737969090963672,0.5699248042153964
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.292534166177077,0.60189044123439,0.4577613929643076
1,4,MFIRL,21.462210973150615,0.7506934196440647,0.26166082274911767
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.371444783999497,0.4813545647553062,0.35550835049617435
1,5,MFIRL,21.428225598834285,0.4483793122217138,0.2771654835483165
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.349928951586943,0.6619435264773215,0.3785960293906784
1,6,MFIRL,21.25844874896144,1.3841316044146523,0.4454195473549898
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.40936186967861,0.6937697969594844,0.2990387296253665
1,7,MFIRL,21.48564327537644,1.1023537193590967,0.21808522560083893
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.399846739072945,1.252705417105925,0.30259813955065973
1,8,MFIRL,21.114054135635246,0.675546098533015,0.6098513632174227
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.408894750208606,1.1647151148688828,0.30534285335683276
1,9,MFIRL,21.34799117936265,1.0303265168707378,0.35913372739230065
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.34881006861487,0.6808137332039692,0.3820112530276274
1,10,MFIRL,21.44459940830285,0.5133495552303085,0.26757373076632823
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.288641335777427,0.6564763966378949,0.46626221073270097
1,1,MFIRL,21.44392343411498,0.23693102537040028,0.27399621803959295
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.495446579750443,0.8467520504442403,0.20379405724029617
1,2,MFIRL,21.41473329244373,0.7555015068814703,0.2941667157569977
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.337563942673963,0.9252389074845695,0.38478500375055263
1,3,MFIRL,21.34738613654069,1.086539849879961,0.3746012581411529
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.378360861265826,1.3270741805527742,0.3241743904264517
1,4,MFIRL,21.225367378674548,0.8833840660583383,0.507939156213971
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.271380534578626,0.5262729834028186,0.4742514538913454
1,5,MFIRL,21.48845024164098,0.7883779928087395,0.22900934410515653
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.18054141224789,0.7845301457954874,0.5550820233777793
1,6,MFIRL,21.219390733650098,1.3851462717524312,0.5269071924322228
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.21179803696294,0.7119919447292621,0.5289585531995543
1,7,MFIRL,21.475049491552934,0.3614322677171589,0.24747054143302105
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.15886471340295,0.5527350736715223,0.590000411368893
1,8,MFIRL,21.34242230878444,0.5917855531289892,0.38203794494371035
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.185740550540196,1.1693728667727117,0.5594249487231199
1,9,MFIRL,21.170119979926458,0.457056437657688,0.6315988530013247
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.150057024797484,1.2745832128406829,0.5989763746967847
1,10,MFIRL,21.351673244904237,0.9505912821869797,0.35550445136688247
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.413260072341743,0.681539692772349,0.30038258455774564
1,1,MFIRL,21.307794010452653,1.4910136676219188,0.3977540436818248
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.283461382080425,0.9464600013571596,0.41099726644772083
1,2,MFIRL,21.40618528684343,0.8628930288950992,0.2985143325808951
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.172319770680794,1.2078575074615683,0.5200424471587392
1,3,MFIRL,20.35320034402681,1.726909817921031,1.3506703229140806
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.34357550700389,1.6643416414800498,0.3653884998131714
1,4,MFIRL,21.45135861194619,0.588258610634188,0.2628577844280445
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.48612925662586,0.517186890809822,0.21645947311374267
1,5,MFIRL,21.212558947249956,0.33928937163267225,0.49659638912498894
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.39567671077554,1.1785054053009454,0.32127501248585133
1,6,MFIRL,21.32572348816631,1.4601601245679836,0.38830245663256546
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.396035422069534,0.5136463999799837,0.3458709236380477
1,7,MFIRL,21.446001472796365,0.4473258697349515,0.2868862014148946
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.326665691575364,0.6403519204043133,0.3819263800741131
1,8,MFIRL,21.32606624665161,1.0169131096741588,0.3867593367816864
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.072201788143822,1.0618285986882503,0.5571676663628822
1,9,MFIRL,21.294986808710807,1.075375550067322,0.4077087156605093
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.316269218223262,0.849848762421781,0.4035313658829267
1,10,MFIRL,21.438652379118878,0.5770172952203446,0.2887026164157033
2,10,EXPERT,21.691489980170484,0.0,0.0
